url,views,likes,comments,shares,upload_date,duration_s,hashtags
https://www.tiktok.com/@happydog541/video/7502441057032899871,,12.7K,253,2249,,,"#happydog,#dog,#funnyvideos,#funnydogs,#dogsoftiktok,#cutedog"
https://www.tiktok.com/@dogpark098/video/7500033636205432110,,3.9M,12.1K,495.2K,,,"#dog,#dogsoftiktok,#fyp,#foryou,#funny,#pet,#puppy"
https://www.tiktok.com/@overtime/video/7502275300475014443,,1.6M,59.2K,1M,,,"#dog,#pee,#wow,#shoutoutot"
https://www.tiktok.com/@myla.thebluestaffy/video/7502552645865835798,,128.8K,302,21.9K,,,"#staffy,#mylathebluestaffy,#talkingdog,#staffordshirebullterrier,#bluestaffy,#staffie,#dogtrend,#viraldog,#mylaslife,#dogtok,#funnydog,#dogfail"
https://www.tiktok.com/@aguyandagolden/video/7502820664823368991,,35.5K,804,1704,,,
https://www.tiktok.com/@funnycutezdog/video/7502119298962378015,,235.4K,183,9315,,,"#funnydog,#funnypet,#cutedog,#dogoftiktok,#doglover,#dog"
https://www.tiktok.com/@doberman_louis_hemi_law/video/7502830711951396114,,1399,74,77,,,"#ドーベルマン,#doberman,#dobie,#dobermanpinscher,#dobermann,#dobermanpride,#dogasmr,#asmr,#咀嚼音,#犬ご飯,#mukbang,#rawfood,#dogmukbang,#dogeating,#犬の咀嚼音,#rawfeeding"
https://www.tiktok.com/@julissa.pradeep/video/7500535177819491626,,1.3M,4554,190.1K,,,"#dog,#funny,#funnyanimals,#funnypets,#animals,#dogsofttiktok,#pet,#foryou,#longervideos"
https://www.tiktok.com/@pugloulou/video/7502152344965106966,,624.9K,976,121.5K,,,"#pug,#dog,#dogsoftiktok,#petsoftiktok"
https://www.tiktok.com/@funny.dogs.3009/video/7502739756854381855,,372,13,72,,,"#dog,#dogsoftiktok,#dogtok,#pet,#doglife,#funny,#funnyvideos,#dogfunnyvideo,#petsoftiktok,#fyp"
https://www.tiktok.com/@haleyandthepets/video/7501017781153058094,,865.7K,1591,131K,,,"#foryou,#foryoupage,#dogs,#dunkindadawg,#viral,#fyp"
https://www.tiktok.com/@a_golden_fam/video/7502815582983687454,,354,9,10,,,"#goldenretriever,#dogtalk,#dog"
https://www.tiktok.com/@k9konvoy/video/7502912398135807278,,3859,143,132,,,"#dogpack,#dogsnacks,#dogsoftiktok,#doglovers"
https://www.tiktok.com/@its_princesspenny/video/7502816492220615944,,6594,159,560,,,"#puppy,#cockerspaniel,#bluey,#dogsoftiktok,#fyp,#blueytok"
https://www.tiktok.com/@funnyanimals_tblack001/video/7500922605348703510,,13.7K,86,1102,,,"#funnydog,#funnypet,#cutedog,#dogsoftiktok,#doglover,#dog"
https://www.tiktok.com/@girl.masti/video/7500841887985569047,,9845,196,125,,,"#dogmeeting,#foryou,#viral_video,#unfreezemyacount,#puppydog,#trending,#santawithkashmir,#dog"
https://www.tiktok.com/@nhamomusic/video/7502876633892785450,,2201,66,54,,,"#fyp,#foryou,#viral,#trending,#rescuedog,#rescuepet,#talkingdog,#sendhelp,#sassydog,#cutedog,#dogsoftiktok,#petsoftiktok"
https://www.tiktok.com/@thienlovescrumblcookie/video/7502892466874535214,,5527,14,1608,,,"#me,#nerd,#glasses,#dog,#dogs"
https://www.tiktok.com/@charmingcanine0/video/7497807744251055406,,776.1K,3424,175.3K,,,"#dog,#dogs,#doglovers,#dogoftiktok,#fyp,#fypツ,#foryou,#funny,#foryoupage,#funnyvideos,#funnydog,#funnytiktok,#funnyanimals"
https://www.tiktok.com/@danburgeart/video/7502905179142999318,,1132,2436,22,,,"#art,#drawing,#tiktokart,#foryou,#profilepicture"
https://www.tiktok.com/@adudewithadogg/video/7502467056382627103,,59,4,3,,,"#goldenretriever,#pov,#puppy,#funnyvideo"
https://www.tiktok.com/@mingaiqian/video/7501282940702264622,,11.1K,200,2244,,,"#foryou,#dogmeetingpuppy,#unfreezemyaccoun,#growmyaccount,#virltiktok,#viralvideos,#foryoupagee,#sat"
https://www.tiktok.com/@adudewithadogg/video/7501754897268854047,,130,5,8,,,"#puppytrend,#dogtrend,#goldenretriever,#goldenretrieverpuppy"
https://www.tiktok.com/@dog/video/7502409939030134062,,287,7,13,,,#dog
https://www.tiktok.com/@haleyandthepets/video/7501846616672849195,,1.9M,3198,390.3K,,,"#foryou,#foryoupage,#viral,#dunkindadawg,#fyp"
https://www.tiktok.com/@thienlovescrumblcookie/video/7500918917158817070,,847.5K,2393,213.7K,,,"#me,#germanshepherd,#germanshepherds,#dog,#dogs"
https://www.tiktok.com/@laurelbakerkang/video/7501797812477218078,,4.8M,16.8K,282K,,,"#cattledog,#australiancattledog,#blueheeler,#sickpet"
https://www.tiktok.com/@dog/video/7502038020799892779,,114,4,3,,,#dog
https://www.tiktok.com/@marvelousworld0/video/7390739275622485249,,31M,193K,4.9M,,,"#SunsetViews,#Dog,#sunset"
https://www.tiktok.com/@its_princesspenny/video/7499462539882040583,,947.5K,4274,121.8K,,,"#puppy,#cockerspaniel,#dogsoftiktok,#puppylove,#cutepuppy"
https://www.tiktok.com/@mileyandlee/video/7488345497896291639,,223.6K,1120,36.8K,,,"#dog,#cachorro,#perros,#dogsoftiktok,#perro,#dogs,#bebes,#amor,#risas,#viralvideos,#loveyou,#besos,#relationship,#puppy,#miraflores_lima_peru,#sanisidro,#arequipa,#viralvideos,#perú,#peru,#lima"
https://www.tiktok.com/@dog/video/7499814257253436715,,36.1K,73,4742,,,#dog
https://www.tiktok.com/@groomer_2yo/video/7471635615600119061,,715.7K,9899,231.3K,,,"#groomin,#grooming,#love,#dogsoftiktok,#dog,#pomeranian,#lovely,#puppy,#fyp,#반려동물,#포메라니안,#foryou,#viral,#포메미용,#포메틱톡,#doggy,#groom"
https://www.tiktok.com/@mountainbaygoldens/video/7490369855397399850,,4.7M,7223,1.1M,,,"#dog,#dogsoftiktok,#goldenretriever"
https://www.tiktok.com/@kassadee.cameron/video/7328750442542910738,,6.2M,15.6K,454.5K,,,"#dachshund,#dog,#dachshundpuppy,#puppy,#mylove"
https://www.tiktok.com/@dogcuteclip/video/7490203387523304759,,517.9K,3232,99.5K,,,"#dog,#cute,#puppy,#pets,#doglover,#cutedog"
https://www.tiktok.com/@its_princesspenny/video/7482301797986602248,,9.3M,29.2K,1.3M,,,"#cockerspaniel,#cockerspanielpuppy,#puppy,#disneyprincess,#fyp,#dogs,#dogsoftiktok,#puppylove"
https://www.tiktok.com/@loverbboiiii/video/7494834544626076974,,1.8M,6201,467.9K,,,"#ilytommy,#fyp,#fypシ,#fyppppppppppppppppppppppp,#explore,#explorepage,#undergroundmusic,#viral,#viralvideo,#dog,#musicforyou,#boat,#dogsoftiktok,#funnyvideos,#doglover,#pet,#petsoftiktok,#petlover,#dogtok,#jerk,#hoodtrap,#meme,#tiktok"
https://www.tiktok.com/@briskeeclips_/video/7489180346412453150,,862.7K,3656,211.8K,,,"#dog,#ranking,#funnymoments,#fyp,#usa🇺🇸"
https://www.tiktok.com/@brookelizabeth8/video/7496089330876763435,,1.7M,3408,106.1K,,,"#goldenretriever,#puppy,#goldenpuppy,#dogs,#dogsoftiktok"
https://www.tiktok.com/@sk1n.car3_2/video/7487645343178394902,,3.6M,10.2K,552.4K,,,"#puppy,#toy,#poodle,#dc,#sweet,#mydog,#love"
https://www.tiktok.com/@shila_the_doggo/video/7492706741801536790,,2.7M,8200,439.3K,,,"#tailwag,#thecutest,#lovehersomuch,#precious,#lovedog,#dogsoftiktok"
https://www.tiktok.com/@anson.tiktok/video/7170674913454509358,,653.9K,13.7K,163.8K,,,"#cutedog,#foryou,#fyp,#bichonfrise"
https://www.tiktok.com/@seb_aubrey/video/7478238851442560272,,3.1M,15.2K,368.1K,,,"#fyp,#foryou,#foryoupage,#fy,#funny,#dogsoftiktok,#dogs,#labrador"
https://www.tiktok.com/@dfwplatinumpoodles/video/7286260109431344426,,942.2K,3408,86.6K,,,"#toypoodles,#texastoypoodles,#dogsoftiktok,#toypoodlepuppy,#dfwplatinumpoodles💞,#dogmomsoftiktok,#poodlelover,#fortworthtexas,#dfw,#dogmom,#puppylove,#puppy,#dallas,#toypoodlesoftiktok,#toypoodle"
https://www.tiktok.com/@nakedhairlesslife/video/7327866399181884703,,630.7K,5454,74.7K,,,"#lobotomy,#hairlessdog,#chihuahua,#hairlesschihuahua,#dog,#braincells,#silly,#funny,#dogs,#dogsoftiktok,#tiktokdogs,#random,#scarytiktoks,#asmr,#relatable"
https://www.tiktok.com/@charcoal_stella/video/7453281756616297774,,1.3M,1141,143.5K,,,"#dog,#viral,#foryou,#foryourpage,#fyp,#trending,#puppy,#puppytok"
https://www.tiktok.com/@itsstanthestaff/video/7471055235398569238,,2M,2602,209.3K,,,"#fyp,#dogsoftiktok,#staffy,#staffordshirebullterrier,#staffylove,#staffyoftiktok,#puppy,#cute,#viral,#explore,#explorepage,#blowthisup,#unitedkingdom,#fypage,#beautiful,#uk,#animals,#natgeo,#bluestaffy,#puppiesoftiktok,#baby,#relatable,#funnypuppy,#fail,#funnydog,#viralvideo,#findingnemo,#imapiranha,#fish,#dentist,#pixar,#disney"
https://www.tiktok.com/@camilonchdog/video/7484322001289743662,,797.8K,5098,304K,,,"#fyp,#dog"
https://www.tiktok.com/@mistermainer/video/7480975077522017566,,1.2M,2853,195.8K,,,"#dogs,#stubborn,#menace,#meme,#funny"
https://www.tiktok.com/@practicalpicks.shop/video/7403370692286172458,,1.1M,30.5K,107.5K,,,"#trainingdogs,#dog,#dogsoftiktok,#dogk9,#foryou,#fypシ゚viral,#militarydog,#smartdog,#trending,#viral,#k9,#malinois,#handler"
https://www.tiktok.com/@theheartdalmatians/video/7407942885045243166,,16.8M,42.5K,2.4M,,,"#dalmatian,#dalmatiansoftiktok,#dalmatianpuppy,#showdogsoftiktok,#showdog,#fypage,#fypシ゚viral,#hearteyes,#hearteyeddalmatian,#dogsofttiktok,#hearteyed,#heterochromia,#fypシ,#heartdog,#dogtok,#dog,#dalmatians,#puppiesoftiktok,#puppies"
https://www.tiktok.com/@grooms.by.mia/video/7472832568845503774,,13.9M,67.2K,4.7M,,,"#fyp,#loseit,#eminem,#dogsoftiktok,#doggrooming,#crazydog"
https://www.tiktok.com/@dog/video/7492015050752888106,,65.1K,561,8881,,,#dog
https://www.tiktok.com/@laughwithbrett/video/7363059341592874286,,448.2K,10.2K,70.1K,,,"#fyp,#foryou,#dog,#dogs,#dogsoftiktok,#funnydog,#funny,#pets,#germanshepherd,#animals,#love,#laugh,#doglife,#doglover,#puppy,#fy,#fypage,#life,#tiktok"
https://www.tiktok.com/@kona_malone/video/7400206970592021766,,3.9M,11.7K,333.7K,,,"#kona,#huskytalk,#dramaqueen,#konamalone,#huskykona,#konahusky,#mygirl,#funny,#talkingdog,#fyp,#foryoupage,#puppy,#dogsoftiktok,#getoutside,#huskiesoftiktok,#dog,#petsoftiktok,#happygirl,#ontario,#canada"
https://www.tiktok.com/@doggos4prez/video/7342505320767507758,,3.4M,9744,134.4K,,,"#gsp,#gspoftiktok,#gspcommunity,#gspoftheday,#gsplove,#gsppuppy,#gspdaily,#gspworld,#doggos4prez,#germanshorthairedpointer,#dogsoftiktok,#puppiesoftiktok,#dogyawns,#puppy,#puppyyawn"
https://www.tiktok.com/@lifeewithloki/video/7487375532569431342,,539.6K,1953,29.4K,,,"#fyp,#dog,#dogsoftiktok,#dogtok,#dogsvideo,#funny,#trending,#jokes"
https://www.tiktok.com/@martha.and.mugsy/video/7213173282097614086,,989K,0,699.7K,,,"#dog,#puppy,#puppylove,#puppytiktok,#dogs,#dogsoftiktok,#dogsvideo,#doglove,#rescuedog,#cutedog,#cutedogs,#adoptdontshop,#rescue,#dogsoftiktokviral,#rescueanimals,#rescuedogs,#rescuedogsoftiktok,#emo,#emotional"
https://www.tiktok.com/@natalieinghram/video/7495919524877716766,,1.1M,2802,54.3K,,,"#australianshepherd,#maverick,#fyp,#trending,#xyzbca,#relatable,#puppy,#funny"
https://www.tiktok.com/@coton_kiwi/video/7485751584274812206,,4M,10.9K,693.8K,,,"#cotondetulear,#dogsoftiktok,#cutedoglife"
https://www.tiktok.com/@bunquystoc/video/7306566856385645825,,1.5M,10.8K,134.3K,,,"#asrm,#asrmsounds,#asrmvideo,#cunyeu,#dog,#fyp,#cute,#pet,#xh,#thucung,#poodle,#bunquystoc"
https://www.tiktok.com/@kcrow18/video/7452953268239519022,,676.8K,5542,71.4K,,,"#dogsoftiktok,#miniaturedachshund,#miniaturedachshundpuppy,#puppy,#dachshundaddict,#fyp,#puppydog,#dachshundsoftiktok,#puppytiktok"
https://www.tiktok.com/@dackimannstaro/video/7469343753094909206,,1.9M,2699,274.8K,,,"#fyp,#wienerdog,#dogsoftiktok,#dog,#dogtok,#viral_video,#dackel,#trendingvideo,#wienerdogs"
https://www.tiktok.com/@a_golden_fam/video/7295023294984719662,,541.7K,22.6K,65K,,,"#puppy,#goldenretrieverlife,#cute,#fyp"
https://www.tiktok.com/@maria.puppies/video/7481686531170700549,,2.4M,9191,427.7K,,,"#dog,#beaglepuppy,#бігль,#beagle,#beagle"
https://www.tiktok.com/@funnypets_78/video/7490735948842519854,,129.1K,1106,63.5K,,,"#fyp,#dog,#dogs,#funnydog,#funnyvideo,#pet,#dogsoftiktok"
https://www.tiktok.com/@izzy_the_shep/video/7344125885139717419,,1.5M,8983,127.5K,,,"#germanshepherd,#gsd,#germanshepherdsoftiktok,#germanshepherdpuppy,#gsdpuppy,#gsdlove,#gsdoftiktok,#germanshepherddog,#germanshepherdlife,#puppy,#puppytiktok,#gsdlife,#germanshepherdsdaily,#germanshepherds,#headtilt"
https://www.tiktok.com/@brandki10zz1/video/7422633745162734865,,518.9K,7211,95.5K,,,"#cute,#cutedog,#puppy,#puppydog,#doglover,#pet,#fyp,#animals,#funny,#funnyvideos"
https://www.tiktok.com/@babydog_04/video/7407084392872545554,,2.6M,17.8K,1.3M,,,#dog
https://www.tiktok.com/@l.iiinda/video/7481344760322460933,,2.2M,3734,69.5K,,,"#foryoupageofficial,#dogsoftiktok,#dog,#dogs,#fypage,#fyp,#foryoupage,#cute,#dogmom,#foryoupage❤️❤️,#fypageシ"
https://www.tiktok.com/@andaleebpanali/video/7495682952039370030,,1.9M,17.8K,417.4K,,,"#dogs,#dogsoftiktok,#funnyvideos,#pets,#cutedog,#funny,#foryou"
https://www.tiktok.com/@funny.dog714/video/7498906612552256799,,493K,1819,121.2K,,,"#dog,#dogs,#fyp,#pet,#funny,#funnydog,#dogtiktok"
https://www.tiktok.com/@julissa.pradeep/video/7473071750847417646,,3.1M,16.5K,646.3K,,,"#dog,#funny,#funnyanimals,#funnypets,#animals,#dogsofttiktok,#pet,#foryou,#longervideos"
https://www.tiktok.com/@funnypetsoftiktok2/video/7484538657614007598,,3.1M,30.5K,978.5K,,,"#dog,#dogsoftiktok,#happy,#happydog,#funnyvideos,#fyp,#foryou,#doglover"
https://www.tiktok.com/@old.memes.core/video/7467416303758806294,,4.3M,4295,622.9K,,,"#hopecore,#core,#dog,#relatable,#blowthisup,#dogsoftiktok"
https://www.tiktok.com/@lolapupprincess/video/7479869753637735726,,5.3M,14.1K,870.6K,,,"#dachshund,#dachshundsoftiktok,#dachshundpuppy,#dachshundaddict,#dachshunds,#dachshundlife,#dachshundlove,#longhairdachshund,#dogsoftiktok,#dog,#dogs,#doglover,#dogmom,#dogtok,#doglife,#wienerdog"
https://www.tiktok.com/@paw.rescuers01/video/7470177138553949462,,3.1M,88.6K,150.3K,,,"#animal,#animalrescue,#dog,#fyp"
https://www.tiktok.com/@jaxandbrooks/video/7438703302474222890,,228.6K,5351,161.6K,,,"#monday,#mondaymood,#foryou,#fyp,#following,#dogsoftiktok,#dalmatiansoftiktok,#funnyvideos,#laugh,#viralvideo,#newtotiktok,#newtrend,#dogsoftiktok,#dogs,#doglover,#doglife,#dogdad,#dalmatians,#dallastexas"
https://www.tiktok.com/@elsalioncub/video/7492046848220318998,,921.6K,19.1K,8885,,,"#notfriendly,#dogs,#offleash,#reaction,#americanbulldog,#dogsoftiktok,#elsalioncub,#fyp,#for"
https://www.tiktok.com/@funnydogs8886/video/7475300052718898478,,2.6M,7871,350.5K,,,"#foryou,#dog,#cute,#funnyvideo,#fyp,#funny"
https://www.tiktok.com/@showandtails/video/7494048918259453226,,741.3K,1271,104.2K,,,"#rottweiler,#puppy,#puppiesoftiktok,#dogsoftiktok"
https://www.tiktok.com/@dieanne/video/7411698311188581663,,567.2K,6752,367.9K,,,"#baddog,#dollargeneral,#goldenretriever,#fyp"
https://www.tiktok.com/@barkandlaugh2/video/7475581755177880878,,2M,5154,210.5K,,,"#dog,#dogs,#fouryou,#funny,#fnnyvideos,#funnydog,#fyp,#fypシ,#pet,#cute,#doglove,#dogfunny,#loveyou,#funnytiktok,#cutedog,#funnymoments,#doggo"
https://www.tiktok.com/@therealryanprater4/video/7184979137918995755,,1.6M,23.4K,127.8K,,,"#bearfromtiktok,#k18results,#viral,#trending,#baddogsoftiktok,#purringdog,#petsoftiktok,#growlking,#ohnono,#ohno,#guarddog"
https://www.tiktok.com/@honkifyoulovemydog/video/7500687214376930566,,2.1M,2800,395.3K,,,"#dogcontent,#dogsoftiktok,#doberman,#funny"
https://www.tiktok.com/@therxckstxr/video/7457570437396974878,,450.4K,5352,41.3K,,,"#fy,#foryoupage,#funnyanimals,#talkingdog,#rxckstxr,#pets,#dogs,#funnypetvideos,#petsoftiktok"
https://www.tiktok.com/@the.lab.woody/video/7499137399784492319,,555.9K,2533,22.8K,,,"#petsoftiktok,#labpuppy,#labradorretriever,#fyp,#viral,#chocolatelab,#1min,#longervideos,#puppylove,#creatorsearchinsights,#dogmom,#spoileddog,#funnydog,#dogsoftiktok,#puppylove,#funnydogs,#crazypuppy,#souldog"
https://www.tiktok.com/@funny.dogs777/video/7482722499147435310,,602.4K,2685,192.8K,,,"#pet,#dog,#dogs,#dogsoftiktok,#petsoftiktok,#funnymoments,#funny,#animals,#dogtok,#funnyvideos,#funnydogs,#foryou"
https://www.tiktok.com/@gamjamypotato/video/7179714865894870315,,2.8M,16.7K,221.7K,,,"#dogsoftiktok,#fyp,#foryoupage,#viraltiktok,#viraldogvideos,#puptok,#pettok"
https://www.tiktok.com/@ava.the.blue.staf/video/7463142058522397984,,1.1M,4444,142.9K,,,"#yawningdog,#puppiesoftiktok,#dogsoftiktok,#puppydog,#puppytok,#cutepuppycheck,#cutepuppies"
https://www.tiktok.com/@semopets/video/7480310592738315562,,648.9K,2025,38.2K,,,"#semopets,#southeastmissouri,#animalshelter,#adoptme,#adoptdontshop,#dogsoftiktok,#dog,#fyp,#foryoupage,#shelterdog,#pov"
https://www.tiktok.com/@shotsavant/video/7425501630348463403,,8M,24.2K,835.7K,,,"#streetportrait,#dogsofinstagram,#cutedogs,#puppy,#puppylove,#dogphotography"
https://www.tiktok.com/@iphonenew19952/video/7469413021102640427,,3.1M,13.8K,54.5K,,,"#pet,#fyp,#xuhuong,#trending,#dog,#dogsoftiktok,#petsoftiktok"
https://www.tiktok.com/@dialpzz/video/7489631804815592735,,2.8M,8018,1.1M,,,"#dogsoftiktok,#fyp"
https://www.tiktok.com/@teddy.the.wiener/video/7384882989311806752,,3.8M,18.5K,545.4K,,,"#dog,#dogsoftiktok,#dogs,#dachshund,#wienerdog,#minidachshund,#fyp"
https://www.tiktok.com/@serenovive/video/7414702124338007312,,6.1M,58.6K,717.5K,,,"#cute,#mini,#dog,#pet,#foryou"
https://www.tiktok.com/@foxsports/video/7469200003655912735,,890.9K,7232,80.2K,,,"#dogsoftiktok,#dog,#dogs,#papillon"
https://www.tiktok.com/@americanstandardk9/video/7260940023933963562,,1.4M,18.2K,30K,,,"#dog,#dogs,#puppy,#bullybreeds,#doglover,#dogmom,#fyp"
https://www.tiktok.com/@funnypetsoftiktok59/video/7493861616098741550,,1.2M,2043,201.7K,,,"#dog,#funny,#foryou,#fyp,#foryoupage,#dogsoftiktok,#doglover,#funnyvideo,#dogs,#funnydog,#tiktokdogs,#pet,#puppy,#usa🇺🇸,#funnymoments"
